class,Test Block 1_spot1_r,Test Block 1_spot1_g,Test Block 1_spot1_b,Test Block 1_spot2_r,Test Block 1_spot2_g,Test Block 1_spot2_b,Test Block 2_spot1_r,Test Block 2_spot1_g,Test Block 2_spot1_b,Test Block 2_spot2_r,Test Block 2_spot2_g,Test Block 2_spot2_b,Test Block 3_spot1_r,Test Block 3_spot1_g,Test Block 3_spot1_b,Test Block 3_spot2_r,Test Block 3_spot2_g,Test Block 3_spot2_b,Control Block_spot1_r,Control Block_spot1_g,Control Block_spot1_b,Control Block_spot2_r,Control Block_spot2_g,Control Block_spot2_b
3,0,2,4,76,59,12,118,89,56,115,139,141,55,103,96,0,3,0,0,4,0,112,137,123
4,86,86,29,43,116,69,5,1,0,0,0,0,124,154,137,19,100,85,0,0,0,124,146,109
4,112,128,29,25,105,98,6,7,0,6,8,15,134,144,130,30,95,74,0,0,0,124,133,118
4,84,106,15,33,120,87,0,0,5,0,0,0,123,144,126,32,102,82,11,0,3,136,133,119
4,83,89,21,68,107,49,6,6,0,18,5,2,134,148,130,27,96,83,0,0,0,121,134,123
4,124,112,23,43,83,90,0,3,4,1,0,0,136,133,135,20,110,83,6,0,4,127,140,136
4,91,97,19,39,110,64,2,3,8,0,2,12,132,146,132,30,112,67,1,1,0,125,146,120
4,118,137,16,64,121,103,0,0,4,16,5,11,134,141,129,22,101,80,0,0,0,125,142,122
4,98,89,20,47,62,113,5,6,12,4,0,0,139,155,131,27,101,99,1,0,0,127,142,126
4,74,116,10,48,75,82,2,0,6,4,2,14,120,149,139,33,87,65,1,3,0,123,136,133
4,86,88,31,43,46,97,10,0,3,8,0,0,135,146,141,23,106,76,3,0,0,126,141,113
4,70,119,27,29,111,93,9,6,9,10,3,3,133,144,140,17,95,78,0,0,0,128,151,126
4,76,74,25,69,108,78,3,0,2,0,3,2,130,145,131,32,104,91,3,0,0,115,142,148
4,94,86,19,43,66,79,1,7,0,0,6,0,128,128,127,23,103,89,0,0,0,121,137,129
4,109,110,24,43,90,66,0,9,0,1,16,0,125,139,129,24,89,65,0,1,0,136,129,112
4,65,95,18,57,117,104,8,3,3,0,7,2,130,134,120,25,93,57,0,0,0,122,138,137
4,96,112,13,0,115,89,4,7,0,0,4,4,131,147,131,27,95,93,0,0,0,128,146,132
4,102,84,23,62,99,109,5,12,0,0,0,0,127,150,130,26,104,67,0,0,0,117,135,139
4,94,99,22,61,72,76,4,0,7,3,0,26,140,147,139,23,96,93,10,0,0,125,139,117
4,80,101,21,33,94,71,0,6,6,8,5,8,136,142,127,18,104,74,0,1,0,120,129,138
4,95,145,28,54,81,66,5,0,0,0,0,10,132,153,111,26,91,70,0,1,0,133,137,128
4,101,97,24,60,112,105,2,8,8,0,5,2,126,154,134,31,91,84,0,0,3,124,135,122
4,110,101,21,57,120,82,3,4,4,5,0,0,131,152,131,23,98,92,0,3,6,114,142,131
4,105,119,19,27,85,98,7,0,4,6,0,3,129,130,135,25,98,72,8,0,0,132,136,120
4,141,84,23,31,79,98,4,2,1,4,10,0,147,137,132,22,86,98,4,0,0,118,137,129
4,86,102,25,21,71,134,0,13,1,13,6,0,137,151,137,15,108,79,0,4,5,124,140,116
4,69,97,19,46,65,69,12,0,5,5,7,0,133,147,147,22,99,96,6,0,0,131,155,108
4,96,86,14,88,138,37,2,1,1,8,5,12,134,155,115,23,99,88,0,0,0,116,135,139
4,63,71,10,10,117,91,2,2,4,5,0,16,118,156,131,21,102,81,0,0,0,120,146,123
4,107,120,20,76,106,78,3,6,2,0,0,0,129,143,128,29,93,66,1,1,0,127,145,118
4,98,94,19,57,103,119,0,7,8,0,0,0,135,144,130,32,95,81,6,1,0,138,139,125
4,118,120,20,58,72,54,0,5,0,13,8,23,126,145,140,29,90,85,0,0,0,129,141,122
4,122,94,17,44,98,54,0,8,2,0,0,0,129,140,129,30,105,77,7,0,0,128,144,130
4,70,102,24,23,98,97,10,0,5,0,11,0,123,139,140,26,104,91,2,0,0,131,134,110
4,82,102,24,18,65,30,16,4,3,0,0,0,132,148,139,23,81,58,2,0,1,128,139,111
4,90,118,19,23,103,99,7,9,0,0,3,0,128,145,143,24,99,85,3,2,0,123,136,113
4,100,77,20,81,129,88,9,0,5,8,0,0,124,139,124,36,97,82,2,0,0,133,133,132
4,75,136,18,0,104,48,0,0,1,0,0,5,145,143,138,15,103,80,0,0,0,110,141,132
4,120,119,19,19,95,92,2,0,0,8,5,0,135,147,134,27,106,81,0,4,0,107,132,128
4,123,109,17,51,62,86,1,0,0,8,13,0,131,149,132,15,105,89,0,0,0,123,139,136
4,84,112,20,50,100,108,3,1,0,0,0,0,132,143,142,21,92,89,0,0,0,125,136,128
4,113,104,21,42,71,73,6,0,8,0,0,0,122,137,136,27,105,85,3,2,0,127,136,131
4,69,106,27,54,64,100,0,3,5,4,0,4,139,145,127,33,97,96,0,0,0,117,146,119
4,80,69,15,38,121,71,7,5,0,2,0,0,129,144,122,22,100,86,0,0,2,130,128,126
4,80,97,21,40,94,101,2,8,0,17,0,2,126,134,127,29,107,74,0,1,0,132,146,113
4,74,99,20,61,94,87,7,1,0,14,4,0,127,142,125,22,93,67,0,3,0,133,136,116
4,67,110,23,37,90,112,0,0,0,0,9,0,126,151,124,36,97,66,1,0,0,125,143,128
4,79,116,24,68,72,75,7,5,2,20,0,9,119,150,136,17,102,99,0,0,0,121,148,125
4,103,98,24,61,133,68,5,7,0,26,12,0,128,148,123,28,98,76,0,0,0,125,141,122
4,119,122,22,14,78,64,8,0,0,0,0,7,133,138,131,29,105,90,0,2,0,134,144,131
4,96,144,23,51,94,73,2,0,0,1,21,0,134,157,126,26,103,78,0,0,0,122,153,125
5,4,0,0,62,51,26,30,104,78,1,5,0,0,0,6,93,67,94,1,5,3,117,137,109
5,0,1,1,45,80,0,29,105,82,0,0,0,0,0,0,101,55,118,0,2,0,134,135,129
5,0,3,11,93,64,43,28,112,77,0,0,0,0,0,1,85,109,112,0,0,3,116,130,122
5,1,0,0,84,64,0,22,103,104,0,0,0,0,0,2,81,73,104,0,0,0,82,133,117
5,0,0,0,64,12,0,22,98,67,0,0,0,0,0,0,67,50,131,0,2,0,117,157,146
5,0,5,0,92,97,0,26,114,80,0,0,8,0,0,5,100,67,96,0,7,0,115,140,122
5,7,0,0,57,15,0,22,113,93,1,3,0,0,0,0,116,61,95,2,5,0,107,166,107
5,4,4,5,75,63,23,32,97,82,0,0,0,0,0,0,88,34,88,0,0,0,130,120,127
5,4,8,0,66,83,0,32,110,75,0,0,0,0,0,8,74,55,91,7,0,0,125,147,106
5,0,0,3,69,79,35,34,108,89,0,1,0,0,0,0,91,100,94,9,0,0,126,125,127
5,0,0,0,37,58,31,29,107,85,0,0,5,3,0,0,88,84,149,0,0,0,111,140,112
5,0,0,0,64,35,24,24,92,92,3,1,0,0,0,3,93,93,108,0,1,5,110,132,132
5,0,2,0,83,43,0,26,107,81,0,0,0,0,0,0,82,37,93,1,2,3,126,133,116
5,0,4,0,65,78,12,29,109,72,1,0,0,0,0,0,115,105,101,6,4,0,134,146,119
5,0,0,0,74,15,27,21,97,95,0,1,0,3,4,0,71,57,88,12,0,0,111,160,141
5,2,0,0,67,43,7,30,107,64,0,0,0,2,2,2,83,25,99,0,0,0,96,146,116
5,5,3,4,55,29,28,31,107,101,0,10,0,5,0,3,47,28,112,2,0,0,112,127,128
