block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 2,138,151,197,119,130,128
Test Block 2,132,157,193,136,101,127
Test Block 2,135,158,190,133,107,133
Test Block 2,131,151,197,140,116,118
Test Block 2,132,153,194,128,129,123
Test Block 3,205,158,152,255,255,255
Test Block 3,205,142,173,255,255,255
Test Block 3,208,150,152,255,255,254
Test Block 3,206,158,158,255,255,254
Test Block 3,206,172,147,255,254,255
Test Block 3,210,157,167,253,255,255
Test Block 3,209,156,163,255,255,255
Test Block 3,209,144,170,255,255,255
Test Block 3,203,155,156,255,255,255
Test Block 3,210,167,150,255,252,255
Test Block 3,205,166,163,255,255,255
Test Block 3,213,148,161,255,252,255
Test Block 3,206,150,170,255,254,255
Test Block 3,206,158,156,255,254,254
Test Block 3,208,153,149,255,255,255
Test Block 3,211,146,152,255,255,255
Test Block 3,199,152,140,255,255,255
Test Block 3,206,157,152,251,254,255
Test Block 3,217,138,156,255,255,255
Test Block 3,212,172,156,255,254,255
Test Block 3,217,140,145,255,255,255
Test Block 3,210,154,174,255,253,255
Test Block 3,213,153,165,252,255,255
Test Block 3,204,148,167,254,252,255
Test Block 3,215,148,161,255,255,255
Test Block 3,211,145,170,253,251,255
Test Block 3,210,138,171,255,255,255
Test Block 3,200,163,150,253,255,255
Test Block 3,206,154,160,255,252,253
Test Block 3,206,143,155,255,255,255
Test Block 3,214,153,163,255,255,255
Test Block 3,211,151,152,255,255,255
Test Block 3,207,145,161,255,255,255
Test Block 3,204,147,161,255,255,255
Test Block 3,210,153,162,255,255,255
Test Block 3,208,152,155,253,255,255
Test Block 3,202,148,155,255,255,251
Test Block 3,206,150,167,253,255,255
Test Block 3,207,155,160,255,255,255
Test Block 3,211,142,159,255,249,255
Test Block 3,213,156,162,255,255,255
Test Block 3,203,153,163,254,252,255
Test Block 3,208,152,159,252,253,255
Test Block 3,213,158,157,255,255,255
Test Block 3,205,147,165,254,255,255
Test Block 3,208,146,154,253,255,255
Test Block 3,204,157,161,255,254,255
Test Block 3,205,171,158,255,255,255
Test Block 3,206,167,162,255,251,255
Test Block 3,220,145,167,255,255,251
Test Block 3,209,160,169,255,255,255
Test Block 3,211,169,150,255,255,253
Test Block 3,207,147,156,255,254,255
Test Block 3,217,161,158,253,252,255
Test Block 3,207,147,155,254,255,253
Test Block 3,211,145,153,255,255,255
Test Block 3,205,162,164,255,251,255
Test Block 3,210,163,154,255,253,255
Test Block 3,214,155,163,250,254,255
Test Block 3,210,164,157,255,255,255
Test Block 3,209,153,167,255,255,255
Test Block 3,212,145,160,255,255,255
Test Block 3,210,155,154,253,255,255
Test Block 3,211,140,159,255,255,255
Test Block 3,205,158,157,255,255,255
Test Block 3,214,162,157,254,255,254
Test Block 3,205,158,160,255,254,253
Test Block 3,202,158,146,255,255,255
Test Block 3,205,149,156,255,255,255
Test Block 3,213,150,160,255,253,255
Test Block 3,203,151,158,255,254,255
Test Block 3,210,147,158,254,255,255
Test Block 3,206,161,157,255,255,255
Test Block 3,212,164,162,253,255,254
Test Block 3,208,151,165,255,255,255
Test Block 3,210,168,176,253,255,255
Test Block 3,208,155,162,255,255,255
Test Block 3,210,142,145,255,255,255
Test Block 3,208,156,139,255,255,254
Test Block 3,213,153,181,255,255,255
Control Block,255,255,255,134,114,129
Control Block,254,254,255,142,119,134
Control Block,255,255,255,124,120,131
Control Block,255,253,255,132,123,136
Control Block,254,255,255,137,116,135
Control Block,255,255,255,134,121,134
Control Block,253,255,255,134,115,124
Control Block,253,255,255,140,122,137
Control Block,255,255,255,138,107,136
Control Block,254,255,255,129,113,125
Control Block,255,255,255,130,117,137
Control Block,254,255,255,135,118,133
Control Block,254,255,255,140,119,126
Control Block,255,255,255,135,115,129
Control Block,254,255,254,132,114,133
Control Block,255,255,255,137,116,133
Control Block,254,255,255,131,118,134
Control Block,255,255,255,131,116,138
Control Block,255,255,255,134,114,129
Control Block,255,255,255,134,125,137
Control Block,253,255,255,134,109,136
Control Block,255,255,255,133,118,132
Control Block,255,255,252,132,118,131
Control Block,255,255,255,139,111,136
Control Block,255,255,255,132,116,136
Control Block,255,255,255,127,113,133
Control Block,255,255,255,134,116,136
Control Block,254,255,255,130,120,136
Control Block,255,254,255,131,116,129
Control Block,255,255,255,132,117,135
Control Block,255,255,255,131,116,135
Control Block,255,254,255,125,111,132
Control Block,255,255,255,135,119,139
Control Block,254,255,255,129,120,148
Control Block,255,255,255,125,113,132
Control Block,255,255,255,128,115,131
Control Block,255,253,255,136,118,137
Control Block,255,254,255,126,122,130
Control Block,255,255,255,128,112,140
Control Block,255,253,255,140,110,136
Control Block,252,251,255,120,116,130
Control Block,255,255,255,128,122,129
Control Block,255,255,255,129,125,136
Control Block,254,255,255,141,121,129
Control Block,255,255,255,126,117,129
Control Block,255,255,255,136,117,134
Control Block,255,252,255,132,121,127
Control Block,255,255,255,140,117,137
Control Block,255,255,255,135,114,129
Control Block,255,255,255,127,115,141
Control Block,255,254,255,131,122,127
Control Block,255,254,255,133,121,135
Control Block,254,254,255,135,115,134
Control Block,255,255,255,139,117,139
Control Block,255,255,255,134,112,133
Control Block,255,255,255,139,115,139
Control Block,254,254,254,137,113,134
Control Block,255,255,255,134,111,132
Control Block,255,255,255,133,125,137
Control Block,253,254,255,136,119,137
Control Block,255,255,254,133,116,140
Control Block,255,255,255,129,120,129
Control Block,254,255,255,132,116,135
Control Block,255,254,254,135,119,129
Control Block,255,255,255,131,125,131
Control Block,255,253,255,134,119,127
Control Block,255,252,255,131,119,126
Control Block,255,254,255,140,111,137
Control Block,255,255,255,127,117,131
Control Block,254,255,255,131,111,142
Control Block,255,255,255,140,120,131
Control Block,255,255,254,141,117,140
Control Block,255,255,255,135,113,140
Control Block,255,255,255,138,113,132
Control Block,254,255,255,135,124,133
Control Block,253,254,255,128,122,135
Control Block,255,252,255,128,120,138
Control Block,255,255,255,132,116,131
Control Block,254,255,255,133,128,137
Control Block,255,255,255,132,114,135
