block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
Test Block 3,202,149,163,255,255,255
Test Block 3,208,151,159,254,255,255
Test Block 3,209,157,162,255,254,255
Test Block 3,208,153,162,255,255,255
Test Block 3,208,152,163,255,255,255
Test Block 3,208,153,164,255,253,255
Test Block 3,206,155,163,255,255,255
Test Block 3,211,152,162,255,255,255
Test Block 3,207,149,160,255,255,255
Test Block 3,214,151,157,255,255,255
Test Block 3,214,146,164,255,255,255
Test Block 3,204,154,158,255,255,255
Test Block 3,211,149,158,255,255,255
Test Block 3,209,157,161,255,255,255
Test Block 3,208,157,163,253,255,255
Test Block 3,210,151,160,253,255,255
Test Block 3,206,157,158,255,253,255
Test Block 3,206,151,155,255,255,255
Test Block 3,213,153,159,255,255,255
Test Block 3,206,156,161,255,255,255
Test Block 3,208,151,161,250,255,255
Test Block 3,208,149,156,255,255,255
Test Block 3,204,154,162,255,255,255
Test Block 3,208,149,159,255,255,255
Test Block 3,212,153,162,252,255,255
Test Block 3,203,154,162,255,255,255
Test Block 3,211,154,159,255,253,255
Test Block 3,205,149,158,255,255,255
Test Block 3,212,150,164,255,255,255
Test Block 3,206,151,157,255,253,255
Control Block,255,255,255,135,116,133
Control Block,254,255,254,135,119,136
Control Block,253,253,255,143,123,137
Control Block,252,255,255,122,121,137
Control Block,250,255,255,134,119,125
Control Block,252,255,255,134,116,136
Control Block,255,255,255,125,117,123
Control Block,255,254,255,126,114,127
Control Block,255,253,255,139,112,135
Control Block,254,255,255,126,122,129
Control Block,255,255,255,136,123,126
Control Block,255,254,255,124,120,137
Control Block,255,254,255,134,120,132
Control Block,255,255,255,133,114,136
Control Block,255,254,255,130,119,139
Control Block,255,254,255,145,116,136
Control Block,250,255,255,124,121,128
Control Block,251,255,255,131,117,125
Control Block,255,255,255,134,118,136
Control Block,255,255,255,134,110,133
Control Block,255,255,255,128,114,140
Control Block,250,255,255,132,116,129
Control Block,255,255,255,130,120,140
Control Block,253,255,255,132,115,143
Control Block,255,255,255,127,109,136
Control Block,251,255,255,133,117,124
Control Block,253,253,255,134,118,135
Control Block,253,252,255,134,116,138
Control Block,255,253,255,142,115,139
Control Block,255,255,255,131,122,138
Control Block,255,255,255,130,126,132
Control Block,255,255,255,137,118,136
Control Block,255,255,255,134,128,123
Control Block,255,253,255,115,109,130
Control Block,255,254,255,122,125,129
Control Block,253,251,255,132,109,133
Control Block,255,252,255,135,121,142
Control Block,253,255,255,139,119,140
Control Block,255,254,255,134,116,130
Control Block,252,255,255,129,121,135
Control Block,255,253,254,127,117,129
Control Block,255,255,255,148,116,134
Control Block,255,253,255,134,113,136
Control Block,255,255,255,143,123,138
Control Block,252,254,255,129,116,126
Control Block,255,255,255,136,124,139
Control Block,255,255,255,138,120,132
Control Block,255,253,255,140,121,127
Control Block,255,255,255,135,118,121
Control Block,255,255,255,142,115,124
Control Block,255,255,255,132,120,131
Control Block,255,255,255,138,118,138
Control Block,255,255,255,134,110,134
Control Block,252,255,255,141,119,132
Control Block,255,255,255,134,114,132
Control Block,255,255,255,137,118,124
Control Block,255,254,255,144,117,133
Control Block,249,255,255,127,125,139
Control Block,252,255,255,130,111,134
Control Block,254,255,255,124,116,136
Control Block,255,255,255,135,119,136
Control Block,255,255,255,132,108,132
Control Block,252,255,255,139,112,131
Control Block,250,255,255,137,114,142
Control Block,255,255,255,136,120,130
Control Block,252,255,254,126,118,131
Control Block,252,252,255,140,120,134
Control Block,254,253,255,133,122,140
Control Block,250,255,255,135,110,136
Control Block,255,255,255,124,118,128
Control Block,255,249,255,136,114,143
Control Block,255,255,255,132,117,136
Control Block,255,251,255,135,119,136
Control Block,255,255,255,134,121,146
Control Block,255,255,255,131,123,129
Control Block,255,255,255,131,128,135
Control Block,251,255,255,128,129,141
Control Block,255,255,253,135,112,141
Control Block,253,253,255,126,119,136
Control Block,252,251,255,141,113,127
