class,block_type,spot1_corr_r,spot1_corr_g,spot1_corr_b,spot2_corr_r,spot2_corr_g,spot2_corr_b
1,Test Block 2,255,254,249,255,255,255
1,Test Block 2,253,253,251,250,255,253
1,Test Block 2,252,253,251,253,255,251
1,Test Block 2,252,251,255,252,253,255
1,Test Block 2,254,253,255,251,254,255
1,Test Block 2,251,249,255,252,254,255
1,Test Block 2,254,255,255,251,253,250
1,Test Block 2,252,253,253,255,255,255
1,Test Block 2,252,251,255,251,255,255
1,Test Block 2,255,254,253,250,255,255
1,Test Block 2,255,252,254,249,254,255
1,Test Block 2,252,253,252,255,255,253
1,Test Block 2,255,251,255,255,255,255
1,Test Block 2,252,255,255,255,255,255
1,Test Block 2,253,248,253,249,255,255
1,Test Block 2,251,255,255,248,251,250
1,Test Block 2,253,253,252,252,244,250
1,Test Block 2,248,253,253,255,255,254
1,Test Block 2,251,254,253,255,255,255
1,Test Block 2,252,253,251,255,255,255
1,Test Block 2,249,255,252,241,249,254
1,Test Block 2,255,253,255,255,255,252
1,Test Block 2,254,251,255,250,255,255
1,Test Block 2,255,253,255,252,254,248
1,Test Block 2,253,255,254,251,247,252
1,Test Block 2,254,255,250,255,255,249
1,Test Block 2,253,252,250,255,250,253
1,Test Block 2,254,254,255,245,255,251
1,Test Block 2,249,255,246,255,254,253
1,Test Block 2,253,254,255,249,251,255
1,Test Block 2,249,254,252,244,254,250
1,Test Block 2,253,255,251,253,255,254
1,Test Block 2,253,254,255,251,246,255
1,Test Block 2,255,252,255,255,255,255
1,Test Block 2,255,250,254,248,248,249
1,Test Block 2,252,253,251,255,253,255
1,Test Block 2,254,252,251,251,254,255
1,Test Block 2,251,252,251,255,255,255
1,Test Block 2,255,255,253,254,251,255
1,Test Block 2,254,255,255,255,255,255
1,Test Block 2,255,253,255,253,255,255
1,Test Block 2,255,255,255,255,255,250
1,Test Block 2,254,253,253,253,255,254
1,Test Block 2,255,253,253,254,253,255
1,Test Block 2,254,251,255,253,249,253
1,Test Block 2,251,254,252,254,255,255
1,Test Block 2,254,251,250,252,250,255
1,Test Block 2,254,253,251,255,251,255
1,Test Block 2,255,251,255,248,255,255
1,Test Block 2,255,255,255,255,249,250
1,Test Block 2,254,253,255,255,255,251
1,Test Block 2,255,251,251,253,255,254
1,Test Block 2,251,254,252,255,252,253
1,Test Block 2,251,249,254,255,243,255
1,Test Block 2,255,255,251,251,255,250
1,Test Block 2,254,252,252,248,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,254,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,253,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,254,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Test Block 3,255,255,255,255,255,255
1,Control Block,255,253,250,145,114,113
1,Control Block,255,253,255,132,134,122
1,Control Block,255,255,255,129,124,135
1,Control Block,255,253,255,130,124,124
1,Control Block,255,255,255,140,108,125
1,Control Block,255,252,255,128,125,120
1,Control Block,255,255,255,116,116,137
1,Control Block,253,254,255,130,113,133
1,Control Block,255,255,255,133,115,116
1,Control Block,254,254,255,128,114,125
1,Control Block,255,252,255,129,116,139
1,Control Block,255,255,255,126,119,125
1,Control Block,254,255,255,123,115,134
1,Control Block,255,255,255,137,105,119
1,Control Block,255,255,255,146,118,132
1,Control Block,255,255,255,134,123,132
1,Control Block,255,255,255,131,115,135
1,Control Block,252,255,252,129,116,128
1,Control Block,252,252,252,134,108,128
1,Control Block,255,255,255,133,116,134
1,Control Block,253,253,255,137,113,138
1,Control Block,255,255,255,130,102,132
1,Control Block,255,252,255,119,113,127
1,Control Block,255,255,255,125,105,118
1,Control Block,255,253,255,129,118,139
1,Control Block,255,255,255,135,113,131
1,Control Block,253,255,250,130,100,114
1,Control Block,255,255,255,135,113,120
1,Control Block,253,255,254,141,113,140
1,Control Block,255,255,252,138,123,123
1,Control Block,255,255,255,136,109,129
1,Control Block,255,254,255,141,104,131
1,Control Block,253,255,255,130,107,133
1,Control Block,254,255,254,138,102,125
1,Control Block,255,254,253,132,118,137
1,Control Block,254,255,252,119,108,146
1,Control Block,254,251,255,139,107,131
1,Control Block,255,255,255,134,111,137
1,Control Block,255,255,255,127,124,128
1,Control Block,255,255,255,131,113,136
1,Control Block,255,255,255,135,113,128
1,Control Block,255,255,255,120,110,123
1,Control Block,255,255,255,126,118,128
1,Control Block,254,255,255,136,103,128
1,Control Block,255,254,254,129,116,137
1,Control Block,255,255,255,136,117,131
1,Control Block,255,255,255,138,109,131
1,Control Block,255,255,255,114,105,127
1,Control Block,255,254,255,131,113,132
1,Control Block,253,253,255,128,112,128
1,Control Block,255,252,255,124,107,131
1,Control Block,255,253,251,136,121,123
1,Control Block,255,254,255,130,114,134
1,Control Block,255,255,255,128,120,127
1,Control Block,255,255,255,121,106,117
1,Control Block,255,255,255,144,117,126
1,Control Block,255,253,255,127,117,127
1,Control Block,255,255,255,140,100,132
1,Control Block,255,249,255,130,104,128
1,Control Block,255,255,255,129,118,136
1,Control Block,254,255,252,140,123,141
1,Control Block,255,255,255,131,114,129
1,Control Block,255,254,255,131,121,130
1,Control Block,255,255,255,127,119,121
1,Control Block,253,255,255,143,118,140
1,Control Block,254,255,255,126,103,117
1,Control Block,255,254,255,145,117,135
1,Control Block,250,254,255,132,118,125
1,Control Block,255,255,255,126,132,129
1,Control Block,255,255,255,125,110,130
1,Control Block,255,255,255,133,111,129
1,Control Block,255,255,255,134,104,129
1,Control Block,255,253,255,138,111,132
1,Control Block,255,253,253,139,115,130
1,Control Block,255,255,252,133,125,134
1,Control Block,255,255,255,143,122,144
1,Control Block,255,255,255,122,122,120
1,Control Block,255,253,255,125,101,113
1,Control Block,255,255,255,135,117,137
1,Control Block,255,255,251,113,119,135
2,Test Block 1,226,145,169,255,255,255
2,Test Block 1,234,142,173,255,249,255
2,Test Block 1,234,139,166,255,250,251
2,Test Block 1,231,146,166,253,253,255
2,Test Block 1,230,147,168,252,255,253
2,Test Block 1,228,151,171,255,253,254
2,Test Block 1,235,155,172,254,255,253
2,Test Block 1,232,145,167,253,253,255
2,Test Block 1,232,154,179,253,255,252
2,Test Block 1,228,141,168,255,255,255
2,Test Block 1,227,146,167,254,255,255
2,Test Block 1,232,160,165,255,255,252
2,Test Block 1,233,158,169,255,251,248
2,Test Block 1,229,151,165,254,255,253
2,Test Block 1,232,143,169,253,251,254
2,Test Block 1,231,152,169,255,254,250
2,Test Block 1,231,149,178,254,255,251
2,Test Block 1,234,145,170,255,252,253
2,Test Block 1,229,145,175,255,255,248
2,Test Block 1,232,151,170,254,255,253
2,Test Block 1,232,154,167,255,255,253
2,Test Block 1,230,144,171,254,249,255
2,Test Block 1,230,151,169,253,254,255
2,Test Block 1,233,148,166,251,253,255
2,Test Block 1,235,151,177,253,255,255
2,Test Block 1,226,152,168,252,253,255
2,Test Block 1,233,148,173,254,255,255
2,Test Block 1,236,147,169,255,254,251
2,Test Block 1,232,152,168,254,255,251
2,Test Block 1,238,147,169,255,250,251
2,Test Block 1,231,152,166,255,254,252
2,Test Block 1,230,141,172,255,253,255
2,Test Block 1,233,148,169,255,253,255
2,Test Block 1,236,151,172,255,255,254
2,Test Block 1,230,150,170,252,249,255
2,Test Block 1,231,150,172,254,252,251
